fn,rmsd_all
R1107_solution_0_7qr4_rpr.pdb,0
R1107TS232_1_rpr.pdb,4.52
R1107TS232_2_rpr.pdb,4.85
R1107TS232_5_rpr.pdb,5.02
R1107TS232_4_rpr.pdb,5.31
R1107TS416_1_rpr.pdb,5.92
R1107TS232_3_rpr.pdb,5.94
R1107TS128_3_rpr.pdb,5.98
R1107TS470_5_rpr.pdb,6.1
R1107TS489_5_rpr.pdb,6.1
R1107TS054_2_rpr.pdb,6.43
R1107TS287_2_rpr.pdb,6.48
R1107TS416_5_rpr.pdb,6.51
R1107TS470_3_rpr.pdb,6.52
R1107TS489_3_rpr.pdb,6.52
R1107TS287_4_rpr.pdb,6.55
R1107TS470_1_rpr.pdb,6.62
R1107TS489_1_rpr.pdb,6.62
R1107TS287_1_rpr.pdb,6.69
R1107TS470_4_rpr.pdb,6.69
R1107TS489_4_rpr.pdb,6.69
R1107TS470_2_rpr.pdb,6.93
R1107TS489_2_rpr.pdb,6.93
R1107TS054_4_rpr.pdb,7.51
R1107TS054_1_rpr.pdb,7.74
R1107TS416_3_rpr.pdb,7.74
R1107TS054_5_rpr.pdb,7.81
R1107TS125_2_rpr.pdb,7.81
R1107TS416_2_rpr.pdb,7.81
R1107TS125_1_rpr.pdb,7.82
R1107TS054_3_rpr.pdb,8.13
R1107TS081_4_rpr.pdb,8.8
R1107TS125_3_rpr.pdb,9.78
R1107TS416_4_rpr.pdb,10.17
R1107TS081_3_rpr.pdb,13.1
R1107TS119_3_rpr.pdb,13.79
R1107TS081_1_rpr.pdb,14.08
R1107TS081_2_rpr.pdb,14.1
R1107TS163_1_rpr.pdb,14.31
R1107TS128_5_rpr.pdb,14.73
R1107TS119_5_rpr.pdb,14.98
R1107TS287_5_rpr.pdb,15.86
R1107TS128_1_rpr.pdb,16.19
R1107TS287_3_rpr.pdb,16.5
R1107TS392_1_rpr.pdb,16.65
R1107TS029_2_rpr.pdb,17.1
R1107TS029_1_rpr.pdb,17.15
R1107TS097_1_rpr.pdb,17.32
R1107TS128_2_rpr.pdb,17.64
R1107TS119_1_rpr.pdb,17.77
R1107TS392_4_rpr.pdb,17.86
R1107TS163_2_rpr.pdb,17.89
R1107TS163_5_rpr.pdb,17.92
R1107TS229_1_rpr.pdb,17.92
R1107TS229_2_rpr.pdb,17.92
R1107TS229_3_rpr.pdb,17.92
R1107TS229_4_rpr.pdb,17.92
R1107TS229_5_rpr.pdb,17.92
R1107TS439_2_rpr.pdb,17.92
R1107TS439_5_rpr.pdb,17.92
R1107TS392_2_rpr.pdb,18.02
R1107TS392_3_rpr.pdb,18.15
R1107TS238_1_rpr.pdb,18.18
R1107TS076_5_rpr.pdb,18.23
R1107TS245_4_rpr.pdb,18.26
R1107TS385_4_rpr.pdb,18.26
R1107TS076_3_rpr.pdb,18.98
R1107TS245_5_rpr.pdb,19.04
R1107TS385_5_rpr.pdb,19.04
R1107TS235_5_rpr.pdb,19.17
R1107TS119_4_rpr.pdb,19.22
R1107TS439_1_rpr.pdb,19.31
R1107TS439_4_rpr.pdb,19.31
R1107TS125_5_rpr.pdb,19.37
R1107TS125_4_rpr.pdb,19.42
R1107TS392_5_rpr.pdb,19.61
R1107TS119_2_rpr.pdb,19.69
R1107TS285_3_rpr.pdb,19.81
R1107TS076_2_rpr.pdb,19.96
R1107TS439_3_rpr.pdb,20
R1107TS076_1_rpr.pdb,20.26
R1107TS128_4_rpr.pdb,20.37
R1107TS035_1_rpr.pdb,20.6
R1107TS285_1_rpr.pdb,21.1
R1107TS285_2_rpr.pdb,21.29
R1107TS285_5_rpr.pdb,21.3
R1107TS245_2_rpr.pdb,21.4
R1107TS385_2_rpr.pdb,21.4
R1107TS035_3_rpr.pdb,21.47
R1107TS285_4_rpr.pdb,21.66
R1107TS035_5_rpr.pdb,21.8
R1107TS035_2_rpr.pdb,22.06
R1107TS035_4_rpr.pdb,22.82
R1107TS076_4_rpr.pdb,22.94
R1107TS248_2_rpr.pdb,22.94
R1107TS248_5_rpr.pdb,22.97
R1107TS385_1_rpr.pdb,23.09
R1107TS248_4_rpr.pdb,23.43
R1107TS245_1_rpr.pdb,23.54
R1107TS434_2_rpr.pdb,23.54
R1107TS248_3_rpr.pdb,23.55
R1107TS248_1_rpr.pdb,23.59
R1107TS245_3_rpr.pdb,23.66
R1107TS385_3_rpr.pdb,23.66
R1107TS147_3_rpr.pdb,24.53
R1107TS227_5_rpr.pdb,25.01
R1107TS235_1_rpr.pdb,25.01
R1107TS434_1_rpr.pdb,25.06
R1107TS227_2_rpr.pdb,25.62
R1107TS434_3_rpr.pdb,25.71
R1107TS227_4_rpr.pdb,25.77
R1107TS147_4_rpr.pdb,25.78
R1107TS147_5_rpr.pdb,26.16
R1107TS434_5_rpr.pdb,26.35
R1107TS227_3_rpr.pdb,26.42
R1107TS227_1_rpr.pdb,26.66
R1107TS235_2_rpr.pdb,26.73
R1107TS147_2_rpr.pdb,27.02
R1107TS147_1_rpr.pdb,27.95
R1107TS235_4_rpr.pdb,28.15
R1107TS434_4_rpr.pdb,29.39
R1107TS235_3_rpr.pdb,31.11
R1107TS131_5_rpr.pdb,37.3
R1107TS131_4_rpr.pdb,43.97
R1107TS131_2_rpr.pdb,49.3
R1107TS131_3_rpr.pdb,51.22
R1107TS131_1_rpr.pdb,51.59
R1107TS091_1_rpr.pdb,58.64
R1107TS091_2_rpr.pdb,62.82
R1107TS091_3_rpr.pdb,63
R1107TS091_4_rpr.pdb,67.23
R1107TS091_5_rpr.pdb,67.98